Tabela,Descricao,Modo,Pref,Acesso,Rotina
ZZ1,Controle de Fornecimento,C,ZZ1,Compartilhado,STTZZ1
ZZ2,Ocorrencias do Fornecedor,C,ZZ2,Compartilhado,STTZZ2
