Campo,Titulo,Tipo,Tamanho,Decimal,Contexto,Obrigatorio,Validacao,Consulta,Gatilho,PictureMascara,Help
ZZ1_FILIAL,Filial,C,2,0,Real,Nao,,,,,Filial do registro
ZZ1_CODIGO,Codigo,C,6,0,Real,Sim,,,,,Codigo unico do controle de fornecimento
ZZ1_FORNEC,Cod. Fornecedor,C,6,0,Real,Sim,"ExistCpo(""SA2"",xFilial(""SA2"")+M->ZZ1_FORNEC+M->ZZ1_LOJAFO,1)",SA2,ZZ1_NOMEFO,,Codigo do fornecedor - deve existir no cadastro SA2
ZZ1_LOJAFO,Loja Fornecedor,C,2,0,Real,Sim,,,,,Loja do fornecedor
ZZ1_NOMEFO,Nome Fornecedor,C,40,0,Virtual,Nao,,,,,Nome do fornecedor buscado automaticamente da SA2
ZZ1_CERTIF,Dados Certificado,C,256,0,Real,Sim,,,,,Dados e numero do certificado de qualidade do fornecedor
ZZ1_VALCER,Val. Certificado,D,8,0,Real,Sim,"M->ZZ1_VALCER >= dDataBase",,,,Data de validade do certificado - nao pode ser inferior a data atual
ZZ1_TOLERA,Tolerancia (%),N,5,2,Real,Sim,"M->ZZ1_TOLERA >= 0 .AND. M->ZZ1_TOLERA <= 100",,,@9999.99,Percentual de tolerancia de nao conformidade - entre 0 e 100
ZZ1_TOTOK,Qtd. Conforme,N,12,2,Real,Nao,,,,,Quantidade total de itens conformes
ZZ1_TOTNOK,Qtd. Nao Conforme,N,12,2,Real,Nao,,,,,Quantidade total de itens nao conformes
